
Calvin Pickard,Calvin Pickard,1.0
Cam Atkinson,Cam Atkinson,1.0
Cam Fowler,Cam Fowler,1.0
Cam Talbot,Cam Talbot,1.0
Cam Ward,Cam Ward,1.0
Cameron Gaunce,Cameron Gaunce,1.0
Cameron Gaunce,Cameron Schilling,0.5806451612903226
Carey Price,Carey Price,1.0
Carl Dahlstrom,Carl Dahlstrom,1.0
Carl Grundstrom,Carl Grundstrom,1.0
Carl Gunnarsson,Carl Gunnarsson,1.0
Carl Hagelin,Carl Hagelin,1.0
Carl Soderberg,Carl Soderberg,1.0
Carson Soucy,Carson Soucy,1.0
Carter Hart,Carter Hart,1.0
Carter Hutton,Carter Hutton,1.0
Carter Rowney,Carter Rowney,1.0
Carter Verhaeghe,Carter Verhaeghe,1.0
Casey Cizikas,Casey Cizikas,1.0
Casey DeSmith,Casey DeSmith,1.0
Casey Mittelstadt,Casey Mittelstadt,1.0
Casey Nelson,Casey Nelson,1.0
Cayden Primeau,Cayden Primeau,1.0
Cedric Paquette,Cedric Paquette,1.0
Chad Johnson,Chad Johnson,1.0
Chad Ruhwedel,Chad Ruhwedel,1.0
Chandler Stephenson,Chandler Stephenson,1.0
Charles Hudon,Charles Hudon,1.0
Charlie Coyle,Charlie Coyle,1.0
Ryan Lindgren,Charlie Lindgren,0.6896551724137931
Charlie McAvoy,Charlie McAvoy,1.0
Casey Nelson,Chase De Leo,0.5833333333333334
Chris Butler,Chris Butler,1.0
Chris Driedger,Chris Driedger,1.0
Chris Kreider,Chris Kreider,1.0
Chris Kunitz,Chris Kunitz,1.0
Chris Stewart,Chris Stewart,1.0
Christopher Tanev,Chris Tanev,0.7857142857142857
Chris Tierney,Chris Thorburn,0.6666666666666666
Chris Tierney,Chris Tierney,1.0
Christopher Wagner,Chris Wagner,0.8
Chris Wideman,Chris Wideman,1.0
Christian Djoos,Christian Djoos,1.0
Christian Dvorak,Christian Dvorak,1.0
Christian Fischer,Christian Fischer,1.0
Christian Folin,Christian Folin,1.0
Christian Jaros,Christian Jaros,1.0
Christian Wolanin,Christian Wolanin,1.0
Christoffer Ehn,Christoffer Ehn,1.0
Christopher Tanev,Christopher Gibson,0.7428571428571429
Christopher Tanev,Christopher Tanev,1.0
Clark Bishop,Clark Bishop,1.0
Claude Giroux,Claude Giroux C,0.9285714285714286
Clayton Keller,Clayton Keller,1.0
Cody Ceci,Cody Ceci,1.0
Cody Eakin,Cody Eakin,1.0
Cody Glass,Cody Glass,1.0
Cody Goloubef,Cody Goloubef,1.0
Cody McLeod,Cody McLeod,1.0
Colby Cave,Colby Cave,1.0
Collin Delia,Colin Blackwell,0.5925925925925926
Colin Miller,Colin Miller,1.0
Colin White,Colin White,1.0
Colin Wilson,Colin Wilson,1.0
Collin Delia,Collin Delia,1.0
Colton Parayko,Colton Parayko,1.0
Colton Sceviour,Colton Sceviour,1.0
Colton Sissons,Colton Sissons,1.0
Colin White,Colton White,0.8695652173913043
Connor Brickley,Connor Brickley,1.0
Connor Brown,Connor Brown,1.0
Connor Carrick,Connor Carrick,1.0
Connor Clifton,Connor Clifton,1.0
Connor Hellebuyck,Connor Hellebuyck,1.0
Connor McDavid,Connor McDavid C,0.9333333333333333
Connor Murphy,Connor Murphy,1.0
Conor Garland,Conor Garland,1.0
Conor Sheary,Conor Sheary,1.0
Cooper Marody,Cooper Marody,1.0
Corban Knight,Corban Knight,1.0
Corey Crawford,Corey Crawford,1.0
Corey Perry,Corey Perry,1.0
Cory Conacher,Cory Conacher,1.0
Cory Schneider,Cory Schneider,1.0
Craig Anderson,Craig Anderson,1.0
Craig Smith,Craig Smith,1.0
Curtis Lazar,Curtis Lazar,1.0
Curtis McElhinney,Curtis McElhinney,1.0
Dale Weise,Dakota Mermis,0.5217391304347826
Dale Weise,Dale Weise,1.0
Dalton Prout,Dalton Prout,1.0
Damon Severson,Damon Severson,1.0
Dan Girardi,Dan Girardi,1.0
Dan Hamhuis,Dan Hamhuis,1.0
Patrick Marleau,Danick Martel,0.6428571428571429
Connor Brickley,Daniel Brickley,0.6666666666666666
Daniel Carr,Daniel Carr,1.0
Daniel Carr,Daniel ORegan,0.6666666666666666
Daniel Sprong,Daniel Sprong,1.0
Danny DeKeyser,Danny DeKeyser,1.0
Dante Fabbro,Dante Fabbro,1.0
Danton Heinen,Danton Heinen,1.0
Darcy Kuemper,Darcy Kuemper,1.0
Darnell Nurse,Darnell Nurse,1.0
Darren Archibald,Darren Archibald,1.0
Darren Helm,Darren Helm,1.0
David Backes,David Backes,1.0
David Gustafsson,David Gustafsson,1.0
David Kampf,David Kampf,1.0
David Kase,David Kase,1.0
David Krejci,David Krejci,1.0
David Pastrnak,David Pastrnak,1.0
David Perron,David Perron,1.0
David Rittich,David Rittich,1.0
David Savard,David Savard,1.0
David Schlemko,David Schlemko,1.0
Dean Kukan,Dean Kukan,1.0
Denis Gurianov,Denis Gurianov,1.0
Denis Malgin,Denis Malgin,1.0
Dennis Cholowski,Dennis Cholowski,1.0
Dennis Gilbert,Dennis Gilbert,1.0
Derek Forbort,Derek Forbort,1.0
Derek Grant,Derek Grant,1.0
Derek Ryan,Derek MacKenzie,0.64
Derek Ryan,Derek Ryan,1.0
Derek Stepan,Derek Stepan,1.0
Derick Brassard,Derick Brassard,1.0
Derrick Pouliot,Derrick Pouliot,1.0
Deryk Engelland,Deryk Engelland,1.0
Devan Dubnyk,Devan Dubnyk,1.0
Devante SmithPelly,Devante SmithPelly,1.0
Devin Shore,Devin Shore,1.0
Devon Toews,Devon Toews,1.0
Dillon Dube,Dillon Dube,1.0
Scott Harrington,Dillon Heatherington,0.6111111111111112
Dion Phaneuf,Dion Phaneuf,1.0
Dmitrij Jaskin,Dmitrij Jaskin,1.0
Dmitry Kulikov,Dmitry Kulikov,1.0
Dmitry Orlov,Dmitry Orlov,1.0
Dmytro Timashov,Dmytro Timashov,1.0
Dominic Toninato,Dominic Toninato,1.0
Dominic Turgeon,Dominic Turgeon,1.0
Dominik Kahun,Dominik Kahun,1.0
Dominik Kubalik,Dominik Kubalik,1.0
Dominik Simon,Dominik Simon,1.0
Dougie Hamilton,Dougie Hamilton,1.0
Drake Batherson,Drake Batherson,1.0
Drake Caggiula,Drake Caggiula,1.0
Drew Doughty,Drew Doughty,1.0
Drew Stafford,Drew Stafford,1.0
Dryden Hunt,Dryden Hunt,1.0
Duncan Keith,Duncan Keith,1.0
Dustin Brown,Dustin Brown,1.0
Dustin Byfuglien,Dustin Byfuglien,1.0
Dylan Demelo,Dylan DeMelo,0.9166666666666666
Dylan Gambrell,Dylan Gambrell,1.0
Dylan Larkin,Dylan Larkin,1.0
Dylan McIlrath,Dylan McIlrath,1.0
Dylan Sikura,Dylan Sikura,1.0
Dylan Strome,Dylan Strome,1.0
Edward Pasquale,Eddie Pasquale,0.8275862068965517
Eeli Tolvanen,Eeli Tolvanen,1.0
Igor Ozhiganov,Egor Yakovlev,0.5185185185185185
Elias Lindholm,Elias Lindholm,1.0
Elias Pettersson,Elias Pettersson,1.0
Elvis Merzlikins,Elvis Merzlikins,1.0
Emil Bemstrom,Emil Bemstrom,1.0
Eric Comrie,Eric Comrie,1.0
Eric Fehr,Eric Fehr,1.0
Eric Gryba,Eric Gryba,1.0
Eric Robinson,Eric Robinson,1.0
Eric Staal,Eric Staal,1.0
Eric Tangradi,Eric Tangradi,1.0
Erik Brannstrom,Erik Brannstrom,1.0
Erik Burgdoerfer,Erik Burgdoerfer,1.0
Erik Cernak,Erik Cernak,1.0
Erik Condra,Erik Condra,1.0
Erik Gudbranson,Erik Gudbranson,1.0
Erik Gustafsson,Erik Gustafsson,1.0
Erik Haula,Erik Haula,1.0
Erik Johnson,Erik Johnson,1.0
Erik Karlsson,Erik Karlsson,1.0
Esa Lindell,Esa Lindell,1.0
Ethan Bear,Ethan Bear,1.0
Ethan Bear,Evan Bouchard,0.6086956521739131
Evan Rodrigues,Evan Rodrigues,1.0
Evander Kane,Evander Kane,1.0
Evgeni Malkin,Evgeni Malkin,1.0
Evgenii Dadonov,Evgenii Dadonov,1.0
Evgeny Kuznetsov,Evgeny Kuznetsov,1.0
Filip Chlapik,Filip Chlapik,1.0
Filip Chytil,Filip Chytil,1.0
Filip Forsberg,Filip Forsberg,1.0
Filip Hronek,Filip Hronek,1.0
Filip Zadina,Filip Zadina,1.0
Frank Vatrano,Frank Vatrano,1.0
Frans Nielsen,Frans Nielsen,1.0
Frederick Gaudreau,Frederick Gaudreau,1.0
