"","Team","PlayerPosition","GameDate","Goals","Assists","Points","PlusMinus","Penalties","EGoals","PPGoals","SHGoals","GWGoals","EVAssits","PPAssits","SHAssits","ShotsOnGoal","ShootingPer","Shits","MP","Hits","Blocks","FaceOffWins","FaceOffLoss","FaceOffPer","GoalsOpp","AssistsOpp","EVAssitsOpp","ShotsOnGoalOpp","HitsOpp","BlocksOpp"
"36","CBJ","F","2019-04-05",0.38,0.34,0.72,1.12,0.32,0.34,0.04,0,0.08,0.26,0.08,0,2.36,13.8,21.02,982.64,1.28,0.32,0.98,1.6,11.4,0.18,0.32,0.26,1.76,0.82,0.38
"37","CBJ","D","2019-04-02",0.1,0.3,0.4,1.22,0.2,0.1,0,0,0,0.24,0.04,0.02,1.46,6.666,26.8,1248.52,1.3,1.72,0,0,2,0.08,0.2,0.18,1.4,1.58,1.4
"38","CBJ","C","2019-04-02",0.14,0.42,0.56,1,0.12,0.1,0.04,0,0.04,0.4,0.02,0,1.32,10,18.92,877.9,0.94,0.32,4.06,3.78,41.994,0.16,0.26,0.22,1.84,0.84,0.56
"39","CBJ","F","2019-04-02",0.38,0.32,0.7,1.06,0.32,0.34,0.02,0.02,0.08,0.3,0.02,0,2.24,13.9,21.08,976.38,1.24,0.36,0.86,1.48,10.68,0.24,0.36,0.28,2.2,1.68,0.4
"40","CBJ","D","2019-03-31",0.12,0.32,0.44,1.2,0.16,0.1,0.02,0,0,0.26,0.04,0.02,1.54,7.332,26.88,1258.92,1.56,1.58,0,0,0,0.1,0.22,0.2,1.9,1.42,1.22
"41","CBJ","C","2019-03-31",0.16,0.34,0.5,0.98,0.12,0.12,0.04,0,0.04,0.32,0.02,0,1.28,10.666,19.26,883.2,0.9,0.34,4.06,3.94,34.798,0.16,0.26,0.22,1.58,1.02,0.38
"42","CBJ","F","2019-03-31",0.32,0.36,0.68,1,0.5,0.28,0.02,0.02,0.06,0.28,0.06,0.02,2.16,12.134,21.34,984.42,1.16,0.38,0.88,1.48,11.174,0.32,0.32,0.26,2.2,1.22,0.32
"43","CBJ","D","2019-03-30",0.1,0.32,0.42,1.2,0.2,0.08,0.02,0,0,0.26,0.04,0.02,1.52,6.666,27.14,1276.2,1.62,1.58,0,0,0,0.12,0.2,0.18,1.48,1.62,1.16
"44","CBJ","C","2019-03-30",0.16,0.26,0.42,0.8,0.08,0.12,0.04,0,0.04,0.24,0.02,0,1.26,10.332,19.28,889.2,1.06,0.4,4.36,3.7,42.706,0.22,0.3,0.16,1.8,1.1,0.72
"45","CBJ","F","2019-03-30",0.26,0.28,0.54,0.88,0.58,0.22,0.02,0.02,0.04,0.2,0.06,0.02,2.18,10.968,21.56,1004.1,1.34,0.38,0.94,1.46,7.142,0.16,0.2,0.14,2.06,1.5,0.6
"46","CBJ","D","2019-03-28",0.12,0.26,0.38,1.02,0.28,0.1,0.02,0,0.04,0.2,0.04,0.02,1.48,6.998,25.06,1143.02,1.6,1.5,0,0,0,0.02,0.2,0.14,1.16,1.66,1.56
"47","CBJ","C","2019-03-28",0.14,0.2,0.34,0.68,0.08,0.1,0.04,0,0.04,0.18,0.02,0,1.28,9.998,19.12,887.76,0.88,0.4,4.36,3.68,38.002,0.26,0.24,0.16,1.62,1.14,0.54
"48","CBJ","F","2019-03-28",0.26,0.3,0.56,0.88,0.54,0.2,0.02,0.04,0.04,0.22,0.06,0.02,2.32,10.54,21.76,1028.32,1.32,0.36,1,1.38,6.052,0.2,0.18,0.16,2.28,1.5,0.42
"49","CBJ","D","2019-03-26",0.12,0.26,0.38,1,0.44,0.1,0.02,0,0.04,0.22,0.02,0.02,1.48,6.998,25.08,1157.5,1.6,1.46,0,0,0,0.04,0.1,0.06,1.44,1.88,1.82
"50","CBJ","C","2019-03-26",0.22,0.22,0.44,0.64,0.16,0.2,0,0.02,0.02,0.22,0,0,1.38,10.664,18.66,884.18,0.92,0.44,4.16,3.64,45.102,0.1,0.12,0.1,1.58,0.94,0.48
"51","CBJ","F","2019-03-26",0.2,0.28,0.48,0.9,0.68,0.14,0.02,0.04,0.04,0.2,0.06,0.02,2.24,7.206,21.56,1039.7,1.4,0.38,0.94,1.42,8.346,0.12,0.14,0.14,2.1,1.5,0.32
"52","CBJ","D","2019-03-24",0.12,0.22,0.34,0.82,0.52,0.1,0.02,0,0.04,0.18,0.02,0.02,1.44,6.998,24.66,1144.08,1.84,1.4,0,0,0,0.16,0.24,0.18,1.68,1.5,1.38
